image,per_frame_SI,grade,segment_aggregated_SI,segment_grade
China_Drone_000430.jpg,0.0012,Good,0.09264,Critical
China_Drone_000441.jpg,0.09005,Critical,0.09186,Critical
China_Drone_000447.jpg,0.00481,Good,0.06575,Critical
China_Drone_000462.jpg,0.06522,Critical,0.06559,Critical
China_Drone_000464.jpg,0.01111,Fair,0.04924,Poor
China_Drone_000471.jpg,0.0,Good,0.03447,Poor
China_Drone_000483.jpg,0.00611,Fair,0.02596,Poor
China_Drone_000485.jpg,0.76792,Critical,0.24855,Critical
China_Drone_000498.jpg,0.00629,Fair,0.17587,Critical
China_Drone_000501.jpg,0.02636,Poor,0.13102,Critical
China_Drone_000506.jpg,0.02979,Poor,0.10065,Critical
China_Drone_000512.jpg,0.0,Good,0.07045,Critical
China_Drone_000520.jpg,0.04901,Poor,0.06402,Critical
China_Drone_000523.jpg,0.02134,Poor,0.05122,Critical
China_Drone_000532.jpg,0.02199,Poor,0.04245,Poor
China_Drone_000542.jpg,0.00592,Fair,0.03149,Poor
China_Drone_000563.jpg,0.00411,Good,0.02328,Poor
China_Drone_000573.jpg,0.0915,Critical,0.04374,Poor
China_Drone_000575.jpg,0.00289,Good,0.03149,Poor
China_Drone_000576.jpg,0.0039,Good,0.02321,Poor
China_Drone_000578.jpg,0.03014,Poor,0.02529,Poor
China_Drone_000579.jpg,0.06147,Critical,0.03614,Poor
China_Drone_000584.jpg,0.00344,Good,0.02633,Poor
China_Drone_000585.jpg,0.0063,Fair,0.02032,Poor
China_Drone_000586.jpg,0.00188,Good,0.01479,Fair
China_Drone_000618.jpg,0.0009,Good,0.01062,Fair
China_Drone_000624.jpg,0.00347,Good,0.00848,Fair
China_Drone_000630.jpg,0.08756,Critical,0.0322,Poor
China_Drone_000649.jpg,0.00146,Good,0.02298,Poor
China_Drone_000650.jpg,0.05254,Critical,0.03185,Poor
China_Drone_000657.jpg,0.04407,Poor,0.03551,Poor
China_Drone_000664.jpg,0.01846,Fair,0.0304,Poor
China_Drone_000674.jpg,0.01107,Fair,0.0246,Poor
China_Drone_000697.jpg,0.27366,Critical,0.09932,Critical
China_Drone_000702.jpg,0.00655,Fair,0.07149,Critical
China_Drone_000710.jpg,0.01518,Fair,0.0546,Critical
China_Drone_000724.jpg,0.0,Good,0.03822,Poor
China_Drone_000725.jpg,0.20335,Critical,0.08776,Critical
China_Drone_000729.jpg,0.00692,Fair,0.06351,Critical
China_Drone_000733.jpg,0.03254,Poor,0.05422,Critical
China_Drone_000734.jpg,0.02278,Poor,0.04479,Poor
